ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,XClick1X,XClick2X,XClick3X,XClick4X,XClick1Y,XClick2Y,XClick3Y,XClick4Y
0005451344f10814,xclick,/m/04ctx,1,0.02625,0.89625,0.105,0.888333,0,0,0,0,0,0.02625,0.176875,0.89625,0.7475,0.6525,0.888333,0.14,0.105
0027b445b545ae1c,xclick,/m/04ctx,1,0.167187,0.865625,0.033573,0.863309,0,0,0,0,0,0.365625,0.167187,0.864062,0.865625,0.033573,0.304556,0.863309,0.844125
00329773aa14e3ad,xclick,/m/04ctx,1,0.141602,0.920898,0.178385,0.816406,0,0,0,0,0,0.441406,0.920898,0.141602,0.191406,0.178385,0.347656,0.723958,0.816406
00459f3bf70283d3,xclick,/m/04ctx,1,0.021875,0.97375,0.301667,0.516667,0,0,0,0,0,0.021875,0.74375,0.97375,0.921875,0.355,0.301667,0.449167,0.516667
00459f3bf70283d3,xclick,/m/04ctx,1,0.188125,0.836875,0.568333,0.716667,0,0,0,0,0,0.188125,0.530625,0.836875,0.539375,0.605833,0.568333,0.671667,0.716667
00459f3bf70283d3,xclick,/m/058qzx,1,0.02,0.9775,0.296667,0.511667,0,0,0,0,0,0.930625,0.9775,0.02,0.579375,0.511667,0.395,0.353333,0.296667
00459f3bf70283d3,xclick,/m/058qzx,1,0.185625,0.82875,0.570833,0.706667,0,0,0,0,0,0.503125,0.52625,0.185625,0.82875,0.570833,0.706667,0.601667,0.67
0045a7e07dd4fa0e,xclick,/m/0gxl3,1,0.65625,0.8175,0.437807,0.509487,1,0,0,0,0,0.65625,0.665,0.8175,0.74875,0.468025,0.437807,0.45116,0.509487
004eb6ca27183afe,xclick,/m/0gxl3,1,0.64,0.790625,0.549719,0.653846,1,0,0,0,0,0.64,0.790625,0.6575,0.695,0.580675,0.636023,0.549719,0.653846
0065a51ab60e59fe,xclick,/m/0gxl3,1,0.1325,0.776875,0.117701,0.813869,1,0,0,0,0,0.2875,0.776875,0.263125,0.1325,0.813869,0.254562,0.117701,0.739051
0065a9f1ac8ca2b4,xclick,/m/0gxl3,1,0.125,0.67375,0.221388,0.511257,1,0,0,0,0,0.67375,0.358125,0.125,0.404375,0.28424,0.221388,0.375235,0.511257
0065a9f1ac8ca2b4,xclick,/m/0gxl3,1,0.806875,0.956875,0.397749,0.445591,1,0,0,0,0,0.956875,0.8875,0.875,0.806875,0.409006,0.445591,0.397749,0.443715
006fb86aed487201,xclick,/m/0gxl3,1,0.06625,0.359375,0.206767,0.850564,1,0,0,0,0,0.300625,0.359375,0.301875,0.06625,0.206767,0.234023,0.850564,0.773496
00d1e939c70f17f0,xclick,/m/0gxl3,1,0.0,0.800781,0.007342,0.572687,1,1,0,0,0,0.499023,0.800781,0.102539,0.0,0.007342,0.140969,0.572687,0.453744
00e57fff9d65a8a2,xclick,/m/04ctx,1,0.025941,0.42092,0.308125,0.95875,1,0,0,0,0,0.09205,0.025941,0.42092,0.373222,0.308125,0.3575,0.95875,0.956875
00e71dd7bd07a35d,xclick,/m/04ctx,1,0.60625,0.871094,0.329412,0.788235,1,0,0,0,0,0.860156,0.871094,0.650781,0.60625,0.329412,0.367059,0.788235,0.737647
00e71dd7bd07a35d,xclick,/m/058qzx,1,0.497656,0.871875,0.330588,0.944706,1,0,0,0,0,0.85625,0.871875,0.497656,0.510938,0.330588,0.401176,0.907059,0.944706
010dce7cb9251d5e,xclick,/m/04ctx,1,0.526875,0.828125,0.434334,0.841463,1,0,0,0,0,0.533125,0.526875,0.815,0.828125,0.434334,0.638837,0.841463,0.832083
