image_path,width,height,class_id,xmin,ymin,xmax,ymax
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_3_f0017.jpg,640,480,1,121.0,128.0,140.0,149.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_3_f0029.jpg,640,480,1,154.3,128.0,174.2,147.5
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_3_f0041.jpg,640,480,1,193.0,134.0,217.0,155.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_3_f0053.jpg,640,480,1,232.0,136.0,260.0,164.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_3_f0065.jpg,640,480,1,287.0,147.0,321.0,175.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_3_f0077.jpg,640,480,1,348.0,160.0,382.0,190.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_3_f0089.jpg,640,480,1,426.0,180.0,467.0,209.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_3_f0101.jpg,640,480,1,511.0,193.0,563.0,227.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_3_f0113.jpg,640,480,1,599.5,220.0,638.5,258.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_4_f0021.jpg,640,480,1,590.0,213.0,632.0,252.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_4_f0034.jpg,640,480,1,507.0,187.0,548.0,224.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_4_f0048.jpg,640,480,1,419.0,167.0,457.0,199.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_4_f0061.jpg,640,480,1,364.0,153.0,403.0,185.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_4_f0075.jpg,640,480,1,305.0,140.0,342.0,171.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_4_f0089.jpg,640,480,1,262.0,136.0,293.0,164.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_4_f0102.jpg,640,480,1,215.0,130.0,244.0,157.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_4_f0116.jpg,640,480,1,165.0,128.0,199.0,154.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P1_V1_HB_4_f0130.jpg,640,480,1,118.0,130.0,146.0,152.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_1_f0025.jpg,640,480,1,12.0,376.0,61.0,441.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_1_f0043.jpg,640,480,1,84.2,338.8,123.5,386.5
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_1_f0061.jpg,640,480,1,152.0,310.0,190.0,353.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_1_f0079.jpg,640,480,1,200.0,284.0,233.0,321.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_1_f0097.jpg,640,480,1,243.0,260.0,274.0,293.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_1_f0115.jpg,640,480,1,271.0,249.0,301.0,279.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_1_f0133.jpg,640,480,1,298.0,238.2,324.4,261.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_1_f0151.jpg,640,480,1,325.0,233.0,352.0,256.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_1_f0169.jpg,640,480,1,344.0,231.0,369.0,252.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_3_f0033.jpg,640,480,1,2.0,366.0,51.0,425.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_3_f0049.jpg,640,480,1,82.0,324.0,119.0,373.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_3_f0066.jpg,640,480,1,164.0,296.0,199.0,335.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_3_f0082.jpg,640,480,1,203.7,277.3,234.7,309.3
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_3_f0099.jpg,640,480,1,245.7,258.7,270.3,289.3
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_3_f0115.jpg,640,480,1,267.0,249.0,294.0,274.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_3_f0132.jpg,640,480,1,289.3,242.0,315.3,266.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_3_f0148.jpg,640,480,1,315.0,234.0,341.0,259.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P2_V1_HB_3_f0165.jpg,640,480,1,351.0,231.0,370.0,249.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_1_f0048.jpg,640,480,1,600.0,144.0,637.0,178.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_1_f0056.jpg,640,480,1,551.5,137.0,592.5,176.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_1_f0064.jpg,640,480,1,507.0,138.0,553.0,176.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_1_f0072.jpg,640,480,1,453.0,136.5,501.0,177.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_1_f0081.jpg,640,480,1,352.0,124.0,407.0,167.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_1_f0089.jpg,640,480,1,278.3,125.3,333.7,171.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_1_f0097.jpg,640,480,1,211.0,108.0,268.3,154.3
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_1_f0105.jpg,640,480,1,109.0,99.0,172.0,153.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_1_f0114.jpg,640,480,1,7.0,98.0,71.0,144.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_2_f0049.jpg,640,480,1,0.0,114.0,60.0,163.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_2_f0057.jpg,640,480,1,95.7,111.7,158.3,158.3
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_2_f0066.jpg,640,480,1,199.7,103.3,270.7,148.7
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_2_f0074.jpg,640,480,1,291.7,105.0,355.7,150.3
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_2_f0083.jpg,640,480,1,366.0,111.0,425.0,148.3
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_2_f0091.jpg,640,480,1,429.3,108.3,485.3,149.3
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_2_f0100.jpg,640,480,1,509.0,125.3,554.3,163.3
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_2_f0108.jpg,640,480,1,557.0,128.0,595.0,163.0
Handgun\Handgun_USRT_CCTV\PAH1_C1_P4_V1_HB_2_f0117.jpg,640,480,1,600.0,130.0,637.0,165.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_1_f0064.jpg,1920,1080,1,1811.0,518.0,1901.0,588.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_1_f0082.jpg,1920,1080,1,1500.0,465.5,1589.0,532.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_1_f0100.jpg,1920,1080,1,1242.0,421.0,1324.5,489.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_1_f0118.jpg,1920,1080,1,1016.7,393.5,1095.2,459.2
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_1_f0136.jpg,1920,1080,1,809.0,363.2,882.5,430.2
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_1_f0154.jpg,1920,1080,1,619.3,349.5,695.5,412.8
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_1_f0172.jpg,1920,1080,1,421.0,329.8,499.8,395.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_1_f0190.jpg,1920,1080,1,227.2,320.8,311.5,386.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_1_f0208.jpg,1920,1080,1,0.0,307.0,82.0,366.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_3_f0057.jpg,1920,1080,1,1813.0,526.0,1913.0,613.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_3_f0076.jpg,1920,1080,1,1515.2,475.7,1613.7,552.7
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_3_f0096.jpg,1920,1080,1,1242.5,426.2,1337.2,513.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_3_f0115.jpg,1920,1080,1,1015.0,397.5,1122.5,482.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_3_f0135.jpg,1920,1080,1,788.0,364.0,885.5,445.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_3_f0155.jpg,1920,1080,1,596.0,350.5,679.5,423.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_3_f0174.jpg,1920,1080,1,408.3,329.5,509.3,401.3
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_3_f0194.jpg,1920,1080,1,192.5,316.8,290.8,387.5
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V1_HB_3_f0214.jpg,1920,1080,1,0.0,297.0,90.0,373.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_2_f0061.jpg,1920,1080,1,0.0,264.0,72.0,321.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_2_f0085.jpg,1920,1080,1,193.3,285.3,279.3,340.3
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_2_f0110.jpg,1920,1080,1,416.2,323.8,494.6,378.2
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_2_f0134.jpg,1920,1080,1,595.0,358.0,672.0,414.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_2_f0159.jpg,1920,1080,1,783.0,376.0,856.0,432.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_2_f0183.jpg,1920,1080,1,963.0,406.0,1027.0,467.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_2_f0208.jpg,1920,1080,1,1216.8,452.8,1299.2,520.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_2_f0232.jpg,1920,1080,1,1528.8,470.7,1629.3,534.5
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_2_f0257.jpg,1920,1080,1,1835.0,515.0,1915.0,578.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_3_f0061.jpg,1920,1080,1,1832.0,516.0,1918.0,589.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_3_f0084.jpg,1920,1080,1,1594.0,479.0,1685.0,549.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_3_f0107.jpg,1920,1080,1,1404.6,486.7,1488.3,556.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_3_f0130.jpg,1920,1080,1,1114.0,459.0,1206.0,529.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_3_f0153.jpg,1920,1080,1,826.3,409.0,916.2,484.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_3_f0176.jpg,1920,1080,1,639.0,371.0,715.0,438.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_3_f0199.jpg,1920,1080,1,459.0,349.0,520.0,410.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_3_f0222.jpg,1920,1080,1,271.5,339.0,333.0,395.5
Handgun\Handgun_USRT_CCTV\PAH1_C2_P3_V2_HB_3_f0246.jpg,1920,1080,1,0.0,340.0,60.0,393.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_1_f0049.jpg,1920,1080,1,1857.5,181.0,1918.5,244.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_1_f0068.jpg,1920,1080,1,1710.7,192.3,1774.7,261.7
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_1_f0088.jpg,1920,1080,1,1549.0,220.7,1623.0,292.3
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_1_f0107.jpg,1920,1080,1,1448.0,260.8,1525.5,332.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_1_f0127.jpg,1920,1080,1,1275.2,320.5,1356.5,401.7
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_1_f0147.jpg,1920,1080,1,1059.5,389.0,1159.5,485.5
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_1_f0166.jpg,1920,1080,1,813.7,470.7,927.3,573.3
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_1_f0186.jpg,1920,1080,1,446.0,584.0,587.0,712.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_1_f0206.jpg,1920,1080,1,5.0,709.0,171.0,876.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_4_f0057.jpg,1920,1080,1,0.0,616.0,145.0,749.0
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_4_f0078.jpg,1920,1080,1,449.0,499.7,575.7,623.7
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_4_f0100.jpg,1920,1080,1,800.0,404.4,905.9,516.6
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_4_f0121.jpg,1920,1080,1,1033.6,355.4,1134.1,452.7
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_4_f0143.jpg,1920,1080,1,1243.9,289.1,1328.9,378.4
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_4_f0165.jpg,1920,1080,1,1391.5,223.5,1475.5,314.5
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_4_f0186.jpg,1920,1080,1,1517.4,195.4,1587.6,278.7
Handgun\Handgun_USRT_CCTV\PAH1_C2_P5_V1_HB_4_f0208.jpg,1920,1080,1,1675.1,178.4,1744.1,247.7
