image_path,width,height,class_id,xmin,ymin,xmax,ymax
Handgun\Handgun_First_Clean_Jabez\armas (2896)_jpg.rf.93DbgdWpIqPR0lB3omj5.jpg,112,168,1,14.0,85.0,51.0,149.0
Handgun\Handgun_First_Clean_Jabez\10fdc831420b8968_jpg.rf.bVAaMo1lJbILyQ1GZoKW.jpg,1024,681,1,158.0,157.0,958.0,557.0
Handgun\Handgun_First_Clean_Jabez\044b569c3ba18575_jpg.rf.cPZpeLFnWHnzvNbdcTD6.jpg,1024,768,1,231.0,351.0,749.0,717.0
Handgun\Handgun_First_Clean_Jabez\armas (2060)_jpg.rf.e3tIdiZC9q357zLNEwSb.jpg,320,155,1,20.0,67.0,257.0,111.0
Handgun\Handgun_First_Clean_Jabez\armas (2209)_jpg.rf.YFTmFYP3a8s787dybFLs.jpg,160,120,1,3.0,5.0,156.0,116.0
Handgun\Handgun_First_Clean_Jabez\armas (534)_jpg.rf.dQUYMH6XHOwI7tnJZy57.jpg,275,183,1,141.0,64.0,249.0,117.0
Handgun\Handgun_First_Clean_Jabez\armas (1604)_jpg.rf.PdWdffUQyrdPHIRRkdXz.jpg,500,313,1,21.0,35.0,466.0,304.0
Handgun\Handgun_First_Clean_Jabez\armas (885)_jpg.rf.a6F9RyLE9Ep7ruNc8W8A.jpg,262,192,1,100.0,13.0,159.0,100.0
Handgun\Handgun_First_Clean_Jabez\armas (641)_jpg.rf.e4wa377gcCCBH632XmzX.jpg,660,660,1,80.0,136.0,640.0,481.0
Handgun\Handgun_First_Clean_Jabez\armas (911)_jpg.rf.e42yabFlE82StsJsojq3.jpg,201,135,1,14.0,16.0,178.0,118.0
Handgun\Handgun_First_Clean_Jabez\armas (380)_jpg.rf.uz5K02ofxBHv8X8yJTV5.jpg,299,450,1,80.0,73.0,133.0,186.0
Handgun\Handgun_First_Clean_Jabez\armas (1633)_jpg.rf.tGr0aI1yePwlLCvdKGWS.jpg,500,398,1,70.0,157.0,315.0,382.0
Handgun\Handgun_First_Clean_Jabez\armas (1633)_jpg.rf.tGr0aI1yePwlLCvdKGWS.jpg,500,398,1,141.0,27.0,400.0,197.0
Handgun\Handgun_First_Clean_Jabez\armas (26)_jpg.rf.Jp4DSGhGLWBWin9sKWL9.jpg,450,424,1,38.0,10.0,156.0,240.0
Handgun\Handgun_First_Clean_Jabez\armas (2870)_jpg.rf.bV8yE4tu1uwQoDqWWwLI.jpg,1280,720,1,570.0,362.0,770.0,590.0
Handgun\Handgun_First_Clean_Jabez\armas (2648)_jpg.rf.olGDyQW13HGIXgFIDUVl.jpg,160,120,1,5.0,1.0,155.0,118.0
Handgun\Handgun_First_Clean_Jabez\armas (490)_jpg.rf.TfuTcZNxGECFYSueqQ7T.jpg,1300,956,1,777.0,5.0,1212.0,280.0
Handgun\Handgun_First_Clean_Jabez\armas (2014)_jpg.rf.5Fvj9CmhxNtYwdRAVPOo.jpg,2032,1048,1,1439.0,234.0,1953.0,656.0
Handgun\Handgun_First_Clean_Jabez\946cc8bd4ed79657_jpg.rf.Qygf8KQ7w5r525BNIJuv.jpg,1024,773,1,74.0,20.0,898.0,715.0
Handgun\Handgun_First_Clean_Jabez\armas (1642)_jpg.rf.6D83Aaxva6HgMZxNCXxk.jpg,500,375,1,49.0,40.0,473.0,328.0
Handgun\Handgun_First_Clean_Jabez\armas (1850)_jpg.rf.66oJJr3DtBTUHu9gvQ0p.jpg,575,315,1,245.0,89.0,318.0,127.0
Handgun\Handgun_First_Clean_Jabez\armas (2011)_jpg.rf.SCNJD2k1b3ZQCwR47HjQ.jpg,768,576,1,45.0,98.0,687.0,494.0
Handgun\Handgun_First_Clean_Jabez\armas (1807)_jpg.rf.RGo1hmo6K2rY6bpjlqoU.jpg,800,430,1,339.0,159.0,405.0,248.0
Handgun\Handgun_First_Clean_Jabez\bbbe57ab3e23f0f9_jpg.rf.IiLpdUF6siwPNRzDHgIE.jpg,709,1024,1,0.0,0.0,708.0,1023.0
Handgun\Handgun_First_Clean_Jabez\c8c9d646eb3e0ae7_jpg.rf.NoAxEjbuoekfRmtNTi8H.jpg,1024,1024,1,183.0,236.0,939.0,885.0
Handgun\Handgun_First_Clean_Jabez\0c87545ba250f18c_jpg.rf.rddE7vbYWoZBzMHSkHF0.jpg,1024,768,1,155.0,18.0,989.0,570.0
